L,det_minus,det_plus,det_plus_approx
100,2.5029486144432216,0.005359651750628341,0.004595601219194055
200,2.503039258846322,0.0026726847401941077,0.002291049138146309
300,2.5030841890242255,0.0017792113280480468,0.0015249391201794628
400,2.503114066685378,0.0013330686809503874,0.0011424450746430695
500,2.5031324856051755,0.0010658104898521796,0.000913350348527907
600,2.5031465328846343,0.0008877591435134878,0.0007607342255257108
700,2.5031563186446175,0.0007606930119281157,0.0006518292115074083
800,2.503165820593141,0.0006653892534548016,0.0005701466954771149
900,2.5031751984062347,0.0005912603987440971,0.0005066124567184971
1000,2.503180344766701,0.0005320446922911871,0.00045586698308557966
1100,2.503185370902606,0.0004835946780387392,0.0004143472444928734
1200,2.503190319481867,0.00044321893594256217,0.00037974680209342
1300,2.503190902758155,0.0004091252786929216,0.00035053551429512387
1400,2.5031957242093816,0.00037983610264742424,0.000325435401433565
1500,2.5031961605715574,0.0003545137638372799,0.00030373971059386774
1600,2.503200919710632,0.00033229840090434913,0.0002847013456988862
1700,2.5032012592415547,0.00031275148263770546,0.0002679542092647915
1800,2.503205992896797,0.00029532412759154537,0.0002530188499893821
1900,2.5032062651770555,0.0002797807856703249,0.00023970206939235425
2000,2.5032065100610503,0.00026579177434010547,0.00022771696671599056
