L,saddle_2R1_0,saddle_1R2_w
100,8.492005392397965,8.48727543996927
200,8.508771515628256,8.504037559885063
300,8.511905932570073,8.50716978676603
400,8.513005532053857,8.508268173730276
500,8.513515031394167,8.50877694118574
600,8.513792008084309,8.509053407283158
700,8.513959036022412,8.509220141186841
800,8.514067464163706,8.509328371423102
900,8.514141921222837,8.509402579868226
1000,8.514195096557021,8.50945566380319
1100,8.514234494137146,8.509494941560513
1200,8.514264450493739,8.50952481645529
1300,8.51428775358502,8.509548066709883
1400,8.514306314594537,8.509566515425067
1500,8.514321212650113,8.509581399132744
1600,8.514333394328812,8.509593580506877
1700,8.514343561492073,8.509603676234132
1800,8.514352084003463,8.509612136623211
1900,8.514359217598747,8.509619296701146
2000,8.514365379731313,8.5096254098966
