L,saddle_0,saddle_w
100,4.627604365463018,4.463593570619154
200,4.578598605634488,4.364014361213058
300,4.571004647185902,4.353952012902873
400,4.561848975743882,4.357623648573861
500,4.554778827196086,4.357581338113043
600,4.554227398717822,4.349380528360914
700,4.556738796713998,4.3668651052104845
800,4.554418530298401,4.370490039283306
900,4.553903623182096,4.361948389683894
1000,4.549180157113464,4.371357020216312
1100,4.550824719941661,4.368194381701136
1200,4.54825227224581,4.379959584053044
1300,4.546474637148501,4.379508384994782
1400,4.549336870415886,4.3801662342110435
1500,4.54834944692908,4.381662114973569
1600,4.5477211449678165,4.38380007154602
1700,4.547370093847577,4.386436223747199
1800,4.547235893790737,4.389463590085186
1900,4.5440737917592395,4.3928018332596315
2000,4.54436011309947,4.386384077242829
100,4.627604365463018,4.578942000990087,4.5964611714075545,4.6381967446126575
200,4.578598605634488,4.531626582746311,4.545116652087826,4.582780118633304
300,4.571004647185902,4.520401918610329,4.535593664376584,4.5657990808547915
400,4.561848975743882,4.514279730313876,4.524587977568148,4.555204017792101
500,4.554778827196086,4.514422200464883,4.515868859188015,4.551631796375827
