weight,G_0,Sigma_0
0.0,0,0
0.02,0.5318204736198827,0.15043139815917325
0.04,0.6324487682664189,0.2530232196325907
0.06,0.6999215894710601,0.3429786089814356
0.08,0.7521164308658307,0.42560215572774357
0.1,0.7952675434579486,0.5031717308078761
0.12,0.8323559903330153,0.5769380743932917
0.14,0.8650600612635673,0.6476844080000299
0.16,0.8944264059998572,0.7159436424165271
0.18,0.9211556963369488,0.7820994445850642
0.2,0.9457419917372648,0.8464400343828132
0.22,0.9685477401191478,0.9091894584370297
0.24,0.9898475765611748,0.9705257756515416
0.26,1.009854889195895,1.030593961741101
0.28,1.0287390583256715,1.0895141264784833
0.3,1.0466370431978937,1.1473869916741788
0.32,1.0636612132624583,1.2042984431517245
0.34,1.0799050603198717,1.2603222772351008
0.36,1.0954472589044786,1.3155225921052047
0.38,1.1103547192263523,1.369955439377391
0.4,1.1246847975659062,1.4236704931310145
0.42,1.1384871235717366,1.4767118137818325
0.44,1.151804936174014,1.5291188078991138
0.46,1.1646761763378337,1.5809268278920432
0.48,1.1771342771352187,1.6321680188352505
0.5,1.1892088984084948,1.6828715807456218
0.52,1.2009265385069021,1.73306390432352
0.54,1.212310877207983,1.7827694194738546
0.56,1.2233832317942614,1.8320105135327582
0.58,1.2341628666109474,1.880807781685378
0.6,1.2446671991615976,1.9291805062934015
0.62,1.2549121235240557,1.9771463347888947
0.64,1.264912089789684,2.0247219644706886
0.66,1.2746803662649446,2.071922765024192
0.68,1.2842290853745808,2.118763356633949
0.7,1.2935694467397707,2.1652572751570824
0.72,1.3027117517190785,2.211417413192221
0.74,1.3116655317956722,2.257255893233815
0.76,1.3204396169258124,2.3027841852748496
0.78,1.3290422041183343,2.3480131655496064
0.8,1.3374809177339235,2.39295316889064
0.82,1.3457628626829456,2.4376140355440743
0.84,1.3538946715081424,2.482005153159282
0.86,1.3618825461812833,2.5261354945629884
0.88,1.3697322966425036,2.570013643165296
0.9,1.3774493682747064,2.613647860960233
0.92,1.3850388809680219,2.6570460566743592
0.94,1.3925056493215417,2.7002158515896997
0.96,1.399854207161512,2.74316460236462
0.98,1.407088831487299,2.785899403271074
1.0,1.4142135601045485,2.8284271201130085
