weight,G_0,Sigma_0
0.0,0.0,0.0
0.0001,0.0002814444714559205,2.3291783062423592e-11
0.0002,0.00018407824944347958,6.509612471090409e-12
0.0003,0.08374377997281934,0.0006116243916564529
0.0004,0.08783899272978586,0.0007053394335329192
0.0005,0.09188485254870941,0.00080696076713797
0.0006,0.0951318710711819,0.0008951849154054424
0.0007,0.09756732661504507,0.0009653211167538275
0.0008,0.09995916261031211,0.001037717134027245
0.0009,0.10153635880595392,0.0010872251410384748
0.001,0.10385781954637563,0.0011632324835272737
0.002,0.11719688927109265,0.001668183109151276
0.003,0.12599075467710238,0.002070158684449194
0.004,0.13244012678010617,0.002402584792505082
0.005,0.13834291581571517,0.0027368213449046872
0.006,0.14310499401406454,0.0030278630853303556
0.007,0.1468531231283014,0.0032706797944107094
0.008,0.15037173252615876,0.003510309948736962
0.009,0.15369581767261747,0.003747332299690833
0.01,0.15685154836971482,0.003982125122265352
0.011,0.15985925369149645,0.004214945722266841
0.012,0.1627353103749478,0.00444598440977228
0.013,0.1654933344065037,0.004675398697824166
0.014,0.16754215077405574,0.004850619366085964
0.015,0.1701066554871441,0.005076453438229415
0.016,0.1720024908121642,0.005247672555943516
0.017,0.17383765453564884,0.005417118266156591
0.018,0.17617127525982765,0.005638052911399627
0.019,0.17788689927253487,0.005804179950270131
0.02,0.18009034144888697,0.0060224420158837685
0.04,0.2072659137880653,0.009185623061078264
0.06,0.22618078471033423,0.011949370793108998
0.08,0.2410773045345596,0.01448419139300826
0.1,0.25348254286521993,0.016853329225412345
0.12,0.2643523971325942,0.019130439409955746
0.14,0.2739514846298943,0.021305932156648392
0.16,0.28270457488737594,0.02342653554054487
0.18,0.29069188533180396,0.025480822907876448
0.2,0.29821162446382504,0.02751613495891287
0.22,0.3051436468380891,0.0294879230420735
0.24,0.3117477718720228,0.03144610284129055
0.26,0.3179735273161392,0.03336858924024651
0.28,0.32390691265610966,0.03526855184365822
0.3,0.3295572109275714,0.03714197723350348
0.32,0.3349756787782365,0.03899589109570666
0.34,0.34017890579389504,0.04082946330655974
0.36,0.3451752312634085,0.042641451900613435
0.38,0.3499885211823394,0.044433152920541195
0.4,0.3546262506523018,0.04620426688808
0.42,0.35910252385451163,0.04795371064640816
0.44,0.36342423280545755,0.04968176268152764
0.46,0.367599935618142,0.05138777333515155
0.48,0.37163753812919725,0.05306899651046487
0.5,0.3755438936651108,0.054724333378149644
0.52,0.37932492435707044,0.05635456818108043
0.54,0.3829870613269967,0.057958790775900944
0.56,0.38653667219200144,0.05953616770109636
0.58,0.3899823698386322,0.06108508331400359
0.6,0.39332924840215094,0.06260665147325668
0.62,0.39658620097004205,0.06410031698492012
0.64,0.39975763016888455,0.06556745398368617
0.66,0.40284981461646024,0.06700878836244863
0.68,0.40586873009947266,0.06842537755761817
0.7,0.4088218463441351,0.06981850444575705
0.72,0.41171190826675946,0.07119008200880467
0.74,0.4145433556609941,0.07254194111958125
0.76,0.4173213798006915,0.07387619171459388
0.78,0.42004760812287517,0.07519499301984321
0.8,0.42272504546563044,0.0765006332879664
0.82,0.42535624022134927,0.07779551561092364
0.84,0.42794337494934137,0.07908214976014007
0.86,0.43048869013467056,0.08036326671931969
0.88,0.432992848528487,0.08164138477928033
0.9,0.43545728257660704,0.08291940747123994
0.92,0.43788311975627703,0.08420055934120918
0.94,0.44027056943702064,0.08548821930680907
0.96,0.4426190631355701,0.08678607043336835
0.98,0.44492716624634104,0.08809837218059838
1.0,0.4471920488327587,0.08943011589648858
